Icon,Date/Time,Description,"Event Type"
true,"1998-09-11 11:02:12","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18204_.WMF","File Modified"
true,"1998-08-25 04:37:56","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18205_.WMF","File Modified"
true,"1998-03-10 03:29:12","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01560_.WMF","File Modified"
true,"1998-09-11 08:42:20","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18206_.WMF","File Modified"
true,"1998-03-10 00:07:42","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01561_.WMF","File Modified"
true,"1998-08-25 04:28:44","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18207_.WMF","File Modified"
true,"1998-03-10 00:07:38","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01563_.WMF","File Modified"
true,"1998-08-25 04:29:26","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18210_.WMF","File Modified"
true,"1998-03-10 00:07:32","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01566_.WMF","File Modified"
true,"1998-10-24 05:18:14","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18211_.WMF","File Modified"
true,"1998-03-10 02:54:28","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01568_.WMF","File Modified"
true,"1998-09-11 09:34:00","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18212_.WMF","File Modified"
true,"1998-08-25 04:21:46","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18213_.WMF","File Modified"
true,"1999-03-13 08:45:28","/Program Files/Microsoft Office/Office12/GREN50.OLB","File Modified"
true,"1999-11-20 02:39:52","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01569_.WMF","File Modified"
true,"1998-03-09 21:16:12","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01575_.WMF","File Modified"
true,"1998-08-25 04:24:10","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18214_.WMF","File Modified"
true,"1998-03-10 07:53:36","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01777_.WMF","File Modified"
true,"1998-08-25 04:15:12","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18215_.WMF","File Modified"
true,"1998-08-25 04:30:00","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18216_.WMF","File Modified"
true,"1998-03-10 07:52:42","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01805_.WMF","File Modified"
true,"1998-08-25 03:56:02","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18217_.WMF","File Modified"
true,"1998-03-10 00:15:46","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO01905_.WMF","File Modified"
true,"1998-09-11 09:24:18","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18220_.WMF","File Modified"
true,"1998-08-25 04:18:28","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18221_.WMF","File Modified"
true,"1998-09-10 00:37:14","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18223_.WMF","File Modified"
true,"1998-08-25 04:40:12","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18224_.WMF","File Modified"
true,"1998-08-25 04:50:46","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18225_.WMF","File Modified"
true,"1998-03-11 04:58:32","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO02054_.WMF","File Modified"
true,"1998-08-25 04:51:56","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18226_.WMF","File Modified"
true,"1998-03-11 04:58:30","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO02055_.WMF","File Modified"
true,"1998-08-25 04:24:50","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18227_.WMF","File Modified"
true,"1998-03-11 04:58:14","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO02067_.WMF","File Modified"
true,"1998-08-25 04:42:56","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18228_.WMF","File Modified"
true,"1998-03-11 04:57:20","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO02094_.WMF","File Modified"
true,"1998-10-24 05:13:08","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18229_.WMF","File Modified"
true,"1998-03-11 01:52:38","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO02227_.WMF","File Modified"
true,"1998-08-25 03:59:12","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18230_.WMF","File Modified"
true,"1998-03-11 06:56:02","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO02228_.WMF","File Modified"
true,"1998-08-25 04:00:02","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18231_.WMF","File Modified"
true,"1998-03-11 06:55:16","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO02233_.WMF","File Modified"
true,"1998-08-25 04:01:40","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18232_.WMF","File Modified"
true,"1998-03-11 06:52:12","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO02253_.WMF","File Modified"
true,"1998-08-25 04:02:12","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18233_.WMF","File Modified"
true,"1998-03-11 04:19:20","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO02261_.WMF","File Modified"
true,"1998-08-25 04:02:46","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18234_.WMF","File Modified"
true,"1998-03-11 06:50:46","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO02263_.WMF","File Modified"
true,"1998-08-25 04:03:32","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18235_.WMF","File Modified"
true,"1998-03-11 06:49:56","/Program Files/Microsoft Office/CLIPART/PUB60COR/SO02268_.WMF","File Modified"
true,"1998-08-25 04:04:08","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18236_.WMF","File Modified"
true,"1997-12-08 14:00:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/PAPER_01.MID","File Modified"
true,"1998-08-25 04:00:50","/Program Files/Microsoft Office/MEDIA/OFFICE12/AUTOSHAP/BD18237_.WMF","File Modified"
true,"1997-12-08 14:00:00","/Program Files/Microsoft Office/CLIPART/PUB60COR/PARNT_01.MID","File Modified"
